IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.249.190,2083,2083,TRUE,SIN,Asia Pacific,Singapore,47,9.57
8.219.103.57,443,443,TRUE,SIN,Asia Pacific,Singapore,57,9.57
47.236.166.131,8880,8880,FALSE,SIN,Asia Pacific,Singapore,10,9.57
8.218.174.118,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,51,9.57
8.222.210.182,2095,2095,FALSE,SIN,Asia Pacific,Singapore,8,9.56
47.245.126.151,8443,8443,TRUE,SIN,Asia Pacific,Singapore,53,9.56
8.222.255.15,2052,2052,FALSE,SIN,Asia Pacific,Singapore,24,9.56
8.218.22.210,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,58,9.55
8.219.60.68,2082,2082,FALSE,SIN,Asia Pacific,Singapore,7,9.55
8.219.51.211,8880,8880,FALSE,SIN,Asia Pacific,Singapore,26,9.55
8.219.111.147,2096,2096,TRUE,SIN,Asia Pacific,Singapore,52,9.55
8.219.110.88,80,80,FALSE,SIN,Asia Pacific,Singapore,4,9.54
8.219.191.40,2095,2095,FALSE,SIN,Asia Pacific,Singapore,39,9.54
47.236.125.62,80,80,FALSE,NRT,Asia Pacific,Tokyo,82,9.54
8.219.167.65,2083,2083,TRUE,SIN,Asia Pacific,Singapore,48,9.54
47.236.150.13,2053,2053,TRUE,SIN,Asia Pacific,Singapore,98,9.54
8.222.213.221,8880,8880,FALSE,SIN,Asia Pacific,Singapore,6,9.53
47.245.118.70,8880,8880,FALSE,SIN,Asia Pacific,Singapore,10,9.53
8.219.247.203,80,80,FALSE,SIN,Asia Pacific,Singapore,8,9.53
8.219.153.237,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,81,9.53
47.74.5.99,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,75,9.53
47.236.172.71,2052,2052,FALSE,SIN,Asia Pacific,Singapore,18,9.52
8.219.99.169,8443,8443,TRUE,SIN,Asia Pacific,Singapore,104,9.52
8.219.126.3,8443,8443,TRUE,SIN,Asia Pacific,Singapore,73,9.52
8.222.212.219,8880,8880,FALSE,SIN,Asia Pacific,Singapore,4,9.52
8.222.221.86,8080,8080,FALSE,SIN,Asia Pacific,Singapore,3,9.52
8.219.242.208,8880,8880,FALSE,SIN,Asia Pacific,Singapore,21,9.51
47.236.144.208,2053,2053,TRUE,SIN,Asia Pacific,Singapore,77,9.51
8.219.1.92,8080,8080,FALSE,SIN,Asia Pacific,Singapore,17,9.51
47.236.116.182,8880,8880,FALSE,SIN,Asia Pacific,Singapore,5,9.51
8.218.188.129,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,53,9.5
8.219.103.65,2083,2083,TRUE,SIN,Asia Pacific,Singapore,69,9.5
47.236.146.249,8443,8443,TRUE,SIN,Asia Pacific,Singapore,87,9.5
47.236.165.25,2082,2082,FALSE,SIN,Asia Pacific,Singapore,27,9.49
8.219.228.186,2082,2082,FALSE,SIN,Asia Pacific,Singapore,8,9.49
47.236.144.156,8080,8080,FALSE,SIN,Asia Pacific,Singapore,16,9.49
47.236.180.51,2095,2095,FALSE,SIN,Asia Pacific,Singapore,31,9.49
8.219.213.112,2096,2096,TRUE,SIN,Asia Pacific,Singapore,68,9.49
47.236.145.85,8880,8880,FALSE,SIN,Asia Pacific,Singapore,20,9.49
8.210.55.134,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,76,9.48
8.219.101.72,80,80,FALSE,SIN,Asia Pacific,Singapore,5,9.48
8.219.206.53,8443,8443,TRUE,SIN,Asia Pacific,Singapore,96,9.48
8.219.213.112,2053,2053,TRUE,SIN,Asia Pacific,Singapore,65,9.48
8.222.244.192,2095,2095,FALSE,SIN,Asia Pacific,Singapore,8,9.48
47.236.202.91,2083,2083,TRUE,SIN,Asia Pacific,Singapore,55,9.47
8.222.183.242,2087,2087,TRUE,SIN,Asia Pacific,Singapore,86,9.47
8.219.100.155,2087,2087,TRUE,SIN,Asia Pacific,Singapore,119,9.46
47.74.45.143,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,73,9.46
8.222.146.222,2083,2083,TRUE,SIN,Asia Pacific,Singapore,99,9.46
8.219.66.156,80,80,FALSE,NRT,Asia Pacific,Tokyo,71,9.46
8.217.193.25,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,44,9.46
8.219.0.162,2083,2083,TRUE,SIN,Asia Pacific,Singapore,98,9.46
47.236.75.113,8880,8880,FALSE,SIN,Asia Pacific,Singapore,17,9.45
47.236.172.95,2052,2052,FALSE,SIN,Asia Pacific,Singapore,17,9.45
8.219.40.37,2052,2052,FALSE,SIN,Asia Pacific,Singapore,13,9.45
8.219.159.232,2052,2052,FALSE,SIN,Asia Pacific,Singapore,10,9.45
8.217.250.222,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,42,9.45
8.219.97.179,2096,2096,TRUE,SIN,Asia Pacific,Singapore,83,9.45
8.222.222.64,443,443,TRUE,SIN,Asia Pacific,Singapore,39,9.43
47.236.180.51,2052,2052,FALSE,SIN,Asia Pacific,Singapore,35,9.43
8.222.193.65,2053,2053,TRUE,SIN,Asia Pacific,Singapore,93,9.43
8.219.106.156,8443,8443,TRUE,SIN,Asia Pacific,Singapore,63,9.43
8.210.3.24,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,46,9.42
47.236.164.215,8443,8443,TRUE,SIN,Asia Pacific,Singapore,89,9.42
47.236.83.239,8880,8880,FALSE,SIN,Asia Pacific,Singapore,19,9.42
47.236.158.158,2095,2095,FALSE,SIN,Asia Pacific,Singapore,20,9.42
8.219.73.188,2083,2083,TRUE,SIN,Asia Pacific,Singapore,58,9.42
8.219.6.157,80,80,FALSE,SIN,Asia Pacific,Singapore,15,9.41
